,ANIO,MES,LOCALIDAD,COD_UPZ,Cluster
0,2020,1,ANTONIO NARIÃ‘O,35,1
1,2020,1,ANTONIO NARIÃ‘O,38,1
2,2020,1,BARRIOS UNIDOS,103,1
3,2020,1,BARRIOS UNIDOS,21,1
4,2020,1,BARRIOS UNIDOS,22,1
5,2020,1,BARRIOS UNIDOS,98,2
6,2020,1,BOSA,49,1
7,2020,1,BOSA,84,1
8,2020,1,BOSA,85,1
9,2020,1,BOSA,86,1
10,2020,1,CANDELARIA,94,1
11,2020,1,CHAPINERO,88,1
12,2020,1,CHAPINERO,90,1
13,2020,1,CHAPINERO,97,2
14,2020,1,CHAPINERO,99,2
15,2020,1,KENNEDY,113,1
16,2020,1,KENNEDY,44,1
17,2020,1,KENNEDY,46,2
18,2020,1,KENNEDY,48,1
19,2020,1,KENNEDY,79,2
20,2020,1,KENNEDY,81,1
21,2020,1,PUENTE ARANDA,108,1
22,2020,1,PUENTE ARANDA,111,1
23,2020,1,PUENTE ARANDA,40,0
24,2020,1,PUENTE ARANDA,41,1
25,2020,1,RAFAEL URIBE URIBE,39,1
26,2020,1,RAFAEL URIBE URIBE,53,1
27,2020,1,RAFAEL URIBE URIBE,54,0
28,2020,1,SANTA FE,91,2
29,2020,1,SANTA FE,93,1
30,2020,1,SUBA,UPR1,1
31,2020,1,SUBA,17,1
32,2020,1,SUBA,18,2
33,2020,1,SUBA,19,2
34,2020,1,SUBA,2,1
35,2020,1,SUBA,20,1
36,2020,1,SUBA,23,2
37,2020,1,SUBA,24,2
38,2020,1,SUBA,25,1
39,2020,1,SUBA,27,1
40,2020,1,SUBA,28,1
41,2020,1,SUBA,3,0
42,2020,1,SUBA,71,1
43,2020,1,TEUSAQUILLO,100,2
44,2020,1,TEUSAQUILLO,101,1
45,2020,1,TEUSAQUILLO,106,1
46,2020,1,TEUSAQUILLO,107,2
47,2020,1,TUNJUELITO,42,1
48,2020,1,TUNJUELITO,62,1
49,2020,1,USAQUÃ‰N,10,0
50,2020,1,USAQUÃ‰N,11,1
51,2020,1,USAQUÃ‰N,12,1
52,2020,1,USAQUÃ‰N,13,2
53,2020,1,USAQUÃ‰N,14,2
54,2020,1,USAQUÃ‰N,15,1
55,2020,1,USAQUÃ‰N,16,2
56,2020,1,USAQUÃ‰N,9,1
57,2020,1,USME,56,1
58,2020,1,USME,57,1
59,2020,1,USME,58,1
60,2020,1,USME,61,1
61,2020,2,ANTONIO NARIÃ‘O,35,1
62,2020,2,ANTONIO NARIÃ‘O,38,1
63,2020,2,BARRIOS UNIDOS,103,1
64,2020,2,BARRIOS UNIDOS,21,1
65,2020,2,BARRIOS UNIDOS,22,1
66,2020,2,BARRIOS UNIDOS,98,1
67,2020,2,BOSA,49,1
68,2020,2,BOSA,84,1
69,2020,2,BOSA,85,1
70,2020,2,BOSA,86,1
71,2020,2,CANDELARIA,94,1
72,2020,2,CHAPINERO,88,1
73,2020,2,CHAPINERO,90,1
74,2020,2,CHAPINERO,97,2
75,2020,2,CHAPINERO,99,2
76,2020,2,KENNEDY,113,1
77,2020,2,KENNEDY,44,1
78,2020,2,KENNEDY,46,2
79,2020,2,KENNEDY,48,1
80,2020,2,KENNEDY,79,2
81,2020,2,KENNEDY,81,1
82,2020,2,PUENTE ARANDA,108,1
83,2020,2,PUENTE ARANDA,111,1
84,2020,2,PUENTE ARANDA,40,0
85,2020,2,PUENTE ARANDA,41,1
86,2020,2,RAFAEL URIBE URIBE,39,1
87,2020,2,RAFAEL URIBE URIBE,53,1
88,2020,2,RAFAEL URIBE URIBE,54,0
89,2020,2,SANTA FE,91,2
90,2020,2,SANTA FE,93,1
91,2020,2,SUBA,UPR1,1
92,2020,2,SUBA,17,1
93,2020,2,SUBA,18,2
94,2020,2,SUBA,19,2
95,2020,2,SUBA,2,1
96,2020,2,SUBA,20,1
97,2020,2,SUBA,23,2
98,2020,2,SUBA,24,2
99,2020,2,SUBA,25,1
100,2020,2,SUBA,27,1
101,2020,2,SUBA,28,1
102,2020,2,SUBA,3,2
103,2020,2,SUBA,71,1
104,2020,2,TEUSAQUILLO,100,2
105,2020,2,TEUSAQUILLO,101,1
106,2020,2,TEUSAQUILLO,106,1
107,2020,2,TEUSAQUILLO,107,2
108,2020,2,TUNJUELITO,42,1
109,2020,2,TUNJUELITO,62,1
110,2020,2,USAQUÃ‰N,10,2
111,2020,2,USAQUÃ‰N,11,1
112,2020,2,USAQUÃ‰N,12,1
113,2020,2,USAQUÃ‰N,13,2
114,2020,2,USAQUÃ‰N,14,2
115,2020,2,USAQUÃ‰N,15,1
116,2020,2,USAQUÃ‰N,16,2
117,2020,2,USAQUÃ‰N,9,1
118,2020,2,USME,56,1
119,2020,2,USME,57,1
120,2020,2,USME,58,1
121,2020,2,USME,61,0
122,2020,3,ANTONIO NARIÃ‘O,35,1
123,2020,3,ANTONIO NARIÃ‘O,38,1
124,2020,3,BARRIOS UNIDOS,103,1
125,2020,3,BARRIOS UNIDOS,21,1
126,2020,3,BARRIOS UNIDOS,22,1
127,2020,3,BARRIOS UNIDOS,98,1
128,2020,3,BOSA,49,1
129,2020,3,BOSA,84,1
130,2020,3,BOSA,85,1
131,2020,3,BOSA,86,1
132,2020,3,CANDELARIA,94,1
133,2020,3,CHAPINERO,88,1
134,2020,3,CHAPINERO,90,1
135,2020,3,CHAPINERO,97,2
136,2020,3,CHAPINERO,99,2
137,2020,3,KENNEDY,113,1
138,2020,3,KENNEDY,44,2
139,2020,3,KENNEDY,46,2
140,2020,3,KENNEDY,48,1
141,2020,3,KENNEDY,79,2
142,2020,3,PUENTE ARANDA,108,1
143,2020,3,PUENTE ARANDA,111,1
144,2020,3,PUENTE ARANDA,40,0
145,2020,3,PUENTE ARANDA,41,1
146,2020,3,RAFAEL URIBE URIBE,39,1
147,2020,3,RAFAEL URIBE URIBE,53,1
148,2020,3,RAFAEL URIBE URIBE,54,1
149,2020,3,SANTA FE,91,2
150,2020,3,SANTA FE,93,1
151,2020,3,SUBA,UPR1,1
152,2020,3,SUBA,17,1
153,2020,3,SUBA,18,2
154,2020,3,SUBA,19,1
155,2020,3,SUBA,2,1
156,2020,3,SUBA,20,1
157,2020,3,SUBA,23,2
158,2020,3,SUBA,24,2
159,2020,3,SUBA,25,1
160,2020,3,SUBA,27,1
161,2020,3,SUBA,28,1
162,2020,3,SUBA,3,1
163,2020,3,TEUSAQUILLO,100,1
164,2020,3,TEUSAQUILLO,101,1
165,2020,3,TEUSAQUILLO,106,1
166,2020,3,TEUSAQUILLO,107,2
167,2020,3,TUNJUELITO,42,1
168,2020,3,TUNJUELITO,62,1
169,2020,3,USAQUÃ‰N,10,2
170,2020,3,USAQUÃ‰N,11,1
171,2020,3,USAQUÃ‰N,12,1
172,2020,3,USAQUÃ‰N,13,2
173,2020,3,USAQUÃ‰N,14,2
174,2020,3,USAQUÃ‰N,15,1
175,2020,3,USAQUÃ‰N,16,2
176,2020,3,USAQUÃ‰N,9,1
177,2020,3,USME,56,1
178,2020,3,USME,57,1
179,2020,3,USME,58,1
180,2020,3,USME,61,1
181,2020,4,ANTONIO NARIÃ‘O,35,1
182,2020,4,ANTONIO NARIÃ‘O,38,1
183,2020,4,BARRIOS UNIDOS,103,1
184,2020,4,BARRIOS UNIDOS,21,1
185,2020,4,BARRIOS UNIDOS,22,1
186,2020,4,BARRIOS UNIDOS,98,1
187,2020,4,BOSA,49,1
188,2020,4,BOSA,84,1
189,2020,4,BOSA,85,1
190,2020,4,BOSA,86,1
191,2020,4,CANDELARIA,94,1
192,2020,4,CHAPINERO,88,1
193,2020,4,CHAPINERO,90,1
194,2020,4,CHAPINERO,97,2
195,2020,4,CHAPINERO,99,2
196,2020,4,KENNEDY,113,1
197,2020,4,KENNEDY,44,2
198,2020,4,KENNEDY,46,2
199,2020,4,KENNEDY,48,1
200,2020,4,KENNEDY,79,2
201,2020,4,PUENTE ARANDA,108,1
202,2020,4,PUENTE ARANDA,111,1
203,2020,4,PUENTE ARANDA,40,0
204,2020,4,PUENTE ARANDA,41,1
205,2020,4,RAFAEL URIBE URIBE,39,1
206,2020,4,RAFAEL URIBE URIBE,53,1
207,2020,4,RAFAEL URIBE URIBE,54,1
208,2020,4,SANTA FE,91,2
209,2020,4,SANTA FE,93,1
210,2020,4,SUBA,UPR1,1
211,2020,4,SUBA,17,1
212,2020,4,SUBA,18,2
213,2020,4,SUBA,19,0
214,2020,4,SUBA,2,1
215,2020,4,SUBA,20,1
216,2020,4,SUBA,23,2
217,2020,4,SUBA,24,2
218,2020,4,SUBA,25,1
219,2020,4,SUBA,27,1
220,2020,4,SUBA,28,1
221,2020,4,SUBA,3,1
222,2020,4,TEUSAQUILLO,100,1
223,2020,4,TEUSAQUILLO,101,1
224,2020,4,TEUSAQUILLO,106,1
225,2020,4,TEUSAQUILLO,107,2
226,2020,4,TUNJUELITO,42,1
227,2020,4,TUNJUELITO,62,1
228,2020,4,USAQUÃ‰N,10,2
229,2020,4,USAQUÃ‰N,11,1
230,2020,4,USAQUÃ‰N,12,1
231,2020,4,USAQUÃ‰N,13,2
232,2020,4,USAQUÃ‰N,14,2
233,2020,4,USAQUÃ‰N,15,1
234,2020,4,USAQUÃ‰N,16,2
235,2020,4,USAQUÃ‰N,9,1
236,2020,4,USME,56,1
237,2020,4,USME,57,1
238,2020,4,USME,58,1
239,2020,4,USME,61,1
240,2020,5,ANTONIO NARIÃ‘O,35,1
241,2020,5,ANTONIO NARIÃ‘O,38,1
242,2020,5,BARRIOS UNIDOS,103,1
243,2020,5,BARRIOS UNIDOS,21,1
244,2020,5,BARRIOS UNIDOS,22,1
245,2020,5,BARRIOS UNIDOS,98,1
246,2020,5,BOSA,49,1
247,2020,5,BOSA,84,0
248,2020,5,BOSA,85,1
249,2020,5,BOSA,86,1
250,2020,5,CANDELARIA,94,1
251,2020,5,CHAPINERO,88,1
252,2020,5,CHAPINERO,90,1
253,2020,5,CHAPINERO,97,2
254,2020,5,CHAPINERO,99,2
255,2020,5,KENNEDY,113,1
256,2020,5,KENNEDY,44,2
257,2020,5,KENNEDY,46,2
258,2020,5,KENNEDY,48,1
259,2020,5,KENNEDY,79,2
260,2020,5,PUENTE ARANDA,108,1
261,2020,5,PUENTE ARANDA,111,1
262,2020,5,PUENTE ARANDA,40,0
263,2020,5,PUENTE ARANDA,41,1
264,2020,5,RAFAEL URIBE URIBE,39,1
265,2020,5,RAFAEL URIBE URIBE,53,1
266,2020,5,RAFAEL URIBE URIBE,54,1
267,2020,5,SANTA FE,91,2
268,2020,5,SANTA FE,93,1
269,2020,5,SUBA,UPR1,1
270,2020,5,SUBA,17,1
271,2020,5,SUBA,18,2
272,2020,5,SUBA,19,1
273,2020,5,SUBA,2,1
274,2020,5,SUBA,20,1
275,2020,5,SUBA,23,2
276,2020,5,SUBA,24,2
277,2020,5,SUBA,25,1
278,2020,5,SUBA,27,1
279,2020,5,SUBA,28,1
280,2020,5,SUBA,3,1
281,2020,5,TEUSAQUILLO,100,1
282,2020,5,TEUSAQUILLO,101,1
283,2020,5,TEUSAQUILLO,106,1
284,2020,5,TEUSAQUILLO,107,2
285,2020,5,TUNJUELITO,42,1
286,2020,5,TUNJUELITO,62,1
287,2020,5,USAQUÃ‰N,10,2
288,2020,5,USAQUÃ‰N,11,0
289,2020,5,USAQUÃ‰N,12,1
290,2020,5,USAQUÃ‰N,13,2
291,2020,5,USAQUÃ‰N,14,2
292,2020,5,USAQUÃ‰N,15,1
293,2020,5,USAQUÃ‰N,16,2
294,2020,5,USAQUÃ‰N,9,1
295,2020,5,USME,56,1
296,2020,5,USME,57,1
297,2020,5,USME,58,1
298,2020,5,USME,61,1
299,2020,6,ANTONIO NARIÃ‘O,35,1
300,2020,6,ANTONIO NARIÃ‘O,38,1
301,2020,6,BARRIOS UNIDOS,103,1
302,2020,6,BARRIOS UNIDOS,21,1
303,2020,6,BARRIOS UNIDOS,22,1
304,2020,6,BARRIOS UNIDOS,98,1
305,2020,6,BOSA,49,1
306,2020,6,BOSA,84,1
307,2020,6,BOSA,85,1
308,2020,6,BOSA,86,1
309,2020,6,CANDELARIA,94,1
310,2020,6,CHAPINERO,88,1
311,2020,6,CHAPINERO,90,1
312,2020,6,CHAPINERO,97,2
313,2020,6,CHAPINERO,99,2
314,2020,6,KENNEDY,113,1
315,2020,6,KENNEDY,44,2
316,2020,6,KENNEDY,46,2
317,2020,6,KENNEDY,48,1
318,2020,6,KENNEDY,79,2
319,2020,6,PUENTE ARANDA,108,1
320,2020,6,PUENTE ARANDA,111,1
321,2020,6,PUENTE ARANDA,40,0
322,2020,6,PUENTE ARANDA,41,1
323,2020,6,RAFAEL URIBE URIBE,39,1
324,2020,6,RAFAEL URIBE URIBE,53,1
325,2020,6,RAFAEL URIBE URIBE,54,1
326,2020,6,SANTA FE,91,2
327,2020,6,SANTA FE,93,1
328,2020,6,SUBA,UPR1,1
329,2020,6,SUBA,17,1
330,2020,6,SUBA,18,2
331,2020,6,SUBA,19,1
332,2020,6,SUBA,2,0
333,2020,6,SUBA,20,1
334,2020,6,SUBA,23,0
335,2020,6,SUBA,24,2
336,2020,6,SUBA,25,1
337,2020,6,SUBA,27,0
338,2020,6,SUBA,28,1
339,2020,6,SUBA,3,1
340,2020,6,TEUSAQUILLO,100,1
341,2020,6,TEUSAQUILLO,101,1
342,2020,6,TEUSAQUILLO,106,1
343,2020,6,TEUSAQUILLO,107,2
344,2020,6,TUNJUELITO,42,1
345,2020,6,TUNJUELITO,62,1
346,2020,6,USAQUÃ‰N,10,2
347,2020,6,USAQUÃ‰N,11,1
348,2020,6,USAQUÃ‰N,12,1
349,2020,6,USAQUÃ‰N,13,2
350,2020,6,USAQUÃ‰N,14,1
351,2020,6,USAQUÃ‰N,15,1
352,2020,6,USAQUÃ‰N,16,2
353,2020,6,USAQUÃ‰N,9,1
354,2020,6,USME,56,1
355,2020,6,USME,57,1
356,2020,6,USME,58,1
357,2020,6,USME,61,1
358,2020,7,ANTONIO NARIÃ‘O,35,1
359,2020,7,ANTONIO NARIÃ‘O,38,1
360,2020,7,BARRIOS UNIDOS,103,1
361,2020,7,BARRIOS UNIDOS,21,1
362,2020,7,BARRIOS UNIDOS,22,1
363,2020,7,BARRIOS UNIDOS,98,1
364,2020,7,BOSA,49,1
365,2020,7,BOSA,84,1
366,2020,7,BOSA,85,1
367,2020,7,BOSA,86,1
368,2020,7,CANDELARIA,94,1
369,2020,7,CHAPINERO,88,1
370,2020,7,CHAPINERO,90,1
371,2020,7,CHAPINERO,97,2
372,2020,7,CHAPINERO,99,2
373,2020,7,KENNEDY,113,1
374,2020,7,KENNEDY,44,2
375,2020,7,KENNEDY,46,0
376,2020,7,KENNEDY,48,1
377,2020,7,KENNEDY,79,2
378,2020,7,PUENTE ARANDA,108,1
379,2020,7,PUENTE ARANDA,111,1
380,2020,7,PUENTE ARANDA,40,0
381,2020,7,PUENTE ARANDA,41,1
382,2020,7,RAFAEL URIBE URIBE,39,1
383,2020,7,RAFAEL URIBE URIBE,53,1
384,2020,7,RAFAEL URIBE URIBE,54,1
385,2020,7,SANTA FE,91,2
386,2020,7,SANTA FE,93,1
387,2020,7,SUBA,UPR1,1
388,2020,7,SUBA,17,1
389,2020,7,SUBA,18,2
390,2020,7,SUBA,19,0
391,2020,7,SUBA,2,1
392,2020,7,SUBA,20,1
393,2020,7,SUBA,23,0
394,2020,7,SUBA,24,2
395,2020,7,SUBA,25,1
396,2020,7,SUBA,27,1
397,2020,7,SUBA,28,1
398,2020,7,SUBA,3,0
399,2020,7,TEUSAQUILLO,100,1
400,2020,7,TEUSAQUILLO,101,1
401,2020,7,TEUSAQUILLO,106,1
402,2020,7,TEUSAQUILLO,107,2
403,2020,7,TUNJUELITO,42,1
404,2020,7,TUNJUELITO,62,1
405,2020,7,USAQUÃ‰N,10,2
406,2020,7,USAQUÃ‰N,11,1
407,2020,7,USAQUÃ‰N,12,1
408,2020,7,USAQUÃ‰N,13,2
409,2020,7,USAQUÃ‰N,14,2
410,2020,7,USAQUÃ‰N,15,1
411,2020,7,USAQUÃ‰N,16,2
412,2020,7,USAQUÃ‰N,9,1
413,2020,7,USME,56,1
414,2020,7,USME,57,1
415,2020,7,USME,58,1
416,2020,7,USME,61,1
417,2020,8,ANTONIO NARIÃ‘O,35,1
418,2020,8,ANTONIO NARIÃ‘O,38,1
419,2020,8,BARRIOS UNIDOS,103,1
420,2020,8,BARRIOS UNIDOS,21,1
421,2020,8,BARRIOS UNIDOS,22,1
422,2020,8,BARRIOS UNIDOS,98,1
423,2020,8,BOSA,49,1
424,2020,8,BOSA,84,1
425,2020,8,BOSA,85,1
426,2020,8,BOSA,86,1
427,2020,8,CANDELARIA,94,1
428,2020,8,CHAPINERO,88,1
429,2020,8,CHAPINERO,90,1
430,2020,8,CHAPINERO,97,2
431,2020,8,CHAPINERO,99,2
432,2020,8,KENNEDY,113,1
433,2020,8,KENNEDY,44,2
434,2020,8,KENNEDY,46,0
435,2020,8,KENNEDY,48,1
436,2020,8,KENNEDY,79,2
437,2020,8,PUENTE ARANDA,108,2
438,2020,8,PUENTE ARANDA,111,1
439,2020,8,PUENTE ARANDA,40,0
440,2020,8,PUENTE ARANDA,41,1
441,2020,8,RAFAEL URIBE URIBE,39,1
442,2020,8,RAFAEL URIBE URIBE,53,1
443,2020,8,RAFAEL URIBE URIBE,54,1
444,2020,8,SANTA FE,91,2
445,2020,8,SANTA FE,93,1
446,2020,8,SUBA,UPR1,1
447,2020,8,SUBA,17,1
448,2020,8,SUBA,18,2
449,2020,8,SUBA,19,0
450,2020,8,SUBA,2,1
451,2020,8,SUBA,20,1
452,2020,8,SUBA,23,0
453,2020,8,SUBA,24,2
454,2020,8,SUBA,25,1
455,2020,8,SUBA,27,1
456,2020,8,SUBA,28,1
457,2020,8,SUBA,3,1
458,2020,8,TEUSAQUILLO,100,1
459,2020,8,TEUSAQUILLO,101,1
460,2020,8,TEUSAQUILLO,106,1
461,2020,8,TEUSAQUILLO,107,2
462,2020,8,TUNJUELITO,42,1
463,2020,8,TUNJUELITO,62,1
464,2020,8,USAQUÃ‰N,10,2
465,2020,8,USAQUÃ‰N,11,1
466,2020,8,USAQUÃ‰N,12,1
467,2020,8,USAQUÃ‰N,13,2
468,2020,8,USAQUÃ‰N,14,2
469,2020,8,USAQUÃ‰N,15,1
470,2020,8,USAQUÃ‰N,16,2
471,2020,8,USAQUÃ‰N,9,1
472,2020,8,USME,56,1
473,2020,8,USME,57,1
474,2020,8,USME,58,1
475,2020,8,USME,61,0
476,2020,9,ANTONIO NARIÃ‘O,35,1
477,2020,9,ANTONIO NARIÃ‘O,38,1
478,2020,9,BARRIOS UNIDOS,103,1
479,2020,9,BARRIOS UNIDOS,21,1
480,2020,9,BARRIOS UNIDOS,22,1
481,2020,9,BARRIOS UNIDOS,98,1
482,2020,9,BOSA,49,1
483,2020,9,BOSA,84,1
484,2020,9,BOSA,85,1
485,2020,9,BOSA,86,1
486,2020,9,CANDELARIA,94,1
487,2020,9,CHAPINERO,88,1
488,2020,9,CHAPINERO,90,1
489,2020,9,CHAPINERO,97,2
490,2020,9,CHAPINERO,99,2
491,2020,9,KENNEDY,113,1
492,2020,9,KENNEDY,44,2
493,2020,9,KENNEDY,46,0
494,2020,9,KENNEDY,48,1
495,2020,9,KENNEDY,79,2
496,2020,9,PUENTE ARANDA,108,1
497,2020,9,PUENTE ARANDA,111,1
498,2020,9,PUENTE ARANDA,40,1
499,2020,9,PUENTE ARANDA,41,1
500,2020,9,RAFAEL URIBE URIBE,39,1
501,2020,9,RAFAEL URIBE URIBE,53,1
502,2020,9,RAFAEL URIBE URIBE,54,1
503,2020,9,SANTA FE,91,2
504,2020,9,SANTA FE,93,1
505,2020,9,SUBA,UPR1,1
506,2020,9,SUBA,17,1
507,2020,9,SUBA,18,2
508,2020,9,SUBA,19,0
509,2020,9,SUBA,2,1
510,2020,9,SUBA,20,1
511,2020,9,SUBA,23,2
512,2020,9,SUBA,24,2
513,2020,9,SUBA,25,1
514,2020,9,SUBA,27,1
515,2020,9,SUBA,28,1
516,2020,9,SUBA,3,0
517,2020,9,TEUSAQUILLO,100,1
518,2020,9,TEUSAQUILLO,101,1
519,2020,9,TEUSAQUILLO,106,1
520,2020,9,TEUSAQUILLO,107,2
521,2020,9,TUNJUELITO,42,1
522,2020,9,TUNJUELITO,62,1
523,2020,9,USAQUÃ‰N,10,2
524,2020,9,USAQUÃ‰N,11,1
525,2020,9,USAQUÃ‰N,12,1
526,2020,9,USAQUÃ‰N,13,2
527,2020,9,USAQUÃ‰N,14,2
528,2020,9,USAQUÃ‰N,15,1
529,2020,9,USAQUÃ‰N,16,2
530,2020,9,USAQUÃ‰N,9,0
531,2020,9,USME,56,0
532,2020,9,USME,57,1
533,2020,9,USME,58,1
534,2020,9,USME,61,1
535,2020,10,ANTONIO NARIÃ‘O,35,1
536,2020,10,ANTONIO NARIÃ‘O,38,1
537,2020,10,BARRIOS UNIDOS,103,1
538,2020,10,BARRIOS UNIDOS,21,1
539,2020,10,BARRIOS UNIDOS,22,1
540,2020,10,BARRIOS UNIDOS,98,1
541,2020,10,BOSA,49,1
542,2020,10,BOSA,84,1
543,2020,10,BOSA,85,0
544,2020,10,BOSA,86,1
545,2020,10,CANDELARIA,94,1
546,2020,10,CHAPINERO,88,1
547,2020,10,CHAPINERO,90,2
548,2020,10,CHAPINERO,97,2
549,2020,10,CHAPINERO,99,2
550,2020,10,KENNEDY,113,2
551,2020,10,KENNEDY,44,2
552,2020,10,KENNEDY,46,0
553,2020,10,KENNEDY,48,1
554,2020,10,KENNEDY,79,2
555,2020,10,PUENTE ARANDA,108,0
556,2020,10,PUENTE ARANDA,111,1
557,2020,10,PUENTE ARANDA,40,1
558,2020,10,PUENTE ARANDA,41,1
559,2020,10,RAFAEL URIBE URIBE,39,1
560,2020,10,RAFAEL URIBE URIBE,53,1
561,2020,10,RAFAEL URIBE URIBE,54,1
562,2020,10,SANTA FE,91,2
563,2020,10,SANTA FE,93,1
564,2020,10,SUBA,17,1
565,2020,10,SUBA,18,2
566,2020,10,SUBA,19,0
567,2020,10,SUBA,2,1
568,2020,10,SUBA,20,1
569,2020,10,SUBA,23,2
570,2020,10,SUBA,24,2
571,2020,10,SUBA,25,1
572,2020,10,SUBA,27,0
573,2020,10,SUBA,28,1
574,2020,10,SUBA,3,1
575,2020,10,TEUSAQUILLO,100,1
576,2020,10,TEUSAQUILLO,101,1
577,2020,10,TEUSAQUILLO,106,1
578,2020,10,TEUSAQUILLO,107,2
579,2020,10,TUNJUELITO,42,1
580,2020,10,TUNJUELITO,62,1
581,2020,10,USAQUÃ‰N,10,2
582,2020,10,USAQUÃ‰N,11,1
583,2020,10,USAQUÃ‰N,12,1
584,2020,10,USAQUÃ‰N,13,2
585,2020,10,USAQUÃ‰N,14,2
586,2020,10,USAQUÃ‰N,15,1
587,2020,10,USAQUÃ‰N,16,2
588,2020,10,USAQUÃ‰N,9,1
589,2020,10,USME,56,0
